,Product Name,Prices,Description,Reviews
110,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Ho...","₹45,990",Windows 11 Operating System,4.1
111,"Acer Aspire 3 with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/1 TB SSD/Windows 11 Home) A...","₹43,990",512 GB SSD,4.1
112,"ASUS Vivobook 16X for Creator, Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Home/4 GB ...","₹74,990",39.62 cm (15.6 Inch) Display,4.3
113,HP (2024) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0061TU Thin and Light ...,"₹36,490",1 Year Onsite Warranty,3.9
114,ASUS Vivobook S 15 OLED Intel Core i9 13th Gen 13900H - (16 GB/512 GB SSD/Windows 11 Home) S5504VA-MA9...,"₹91,990",AMD Ryzen 3 Quad Core Processor,4.1
115,Primebook S Wifi MediaTek MT8183 - (4 GB/128 GB EMMC Storage/Prime OS) PB S Wifi Thin and Light Laptop,"₹13,990",8 GB LPDDR5 RAM,2.5
116,FUTOPIA Ultimus Pro Intel Dual Core Upto 2.8GHz - (8 GB/256 GB SSD/Windows 11 Home) NU14U3INC54BN.MB T...,"₹15,990",Windows 11 Operating System,4.6
117,Infinix X Air Pro+ Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) XL434 Thin and Li...,"₹49,990",512 GB SSD,4.4
118,ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK322...,"₹38,990",39.62 cm (15.6 Inch) Display,3.8
119,Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,"₹15,980",1 Year Onsite Warranty,4.2
120,HP FQ Series Intel Core i3 12th Gen 1215U - (8 GB/1 TB SSD/Windows 11 Home) 15s-FQ5328TU Thin and Ligh...,"₹39,990",Intel Core i3 Processor (12th Gen),4.3
121,HP Pavilion 15 (2024) AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) 15-eh3036AU Thin...,"₹43,899",8 GB DDR4 RAM,4.3
122,HP Pavilion Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) 15-eg3079TU Thin and Lig...,"₹67,990",Windows 11 Home Operating System,4.3
123,MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO-613IN T...,"₹33,990",256 GB SSD,4
124,HP Pavilion 14 Touchscreen Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Pavilion ...,"₹61,990",100.58 cm (39.6 cm) Display,4.4
125,Acer Predator Neo Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,"₹94,990",1 Year Carry-in Warranty,4
126,Lenovo IdeaPad Flex 5 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 14IAU7 2 in 1 L...,"₹60,900",Intel Core i3 Processor (13th Gen),4.4
127,Acer Aspire Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) AL15-53 Notebook,"₹32,990",8 GB DDR4 RAM,4.3
128,ASUS Vivobook Go 14 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1404FA-NK321WS Th...,"₹30,899",64 bit Windows 11 Operating System,4.2
129,Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,"₹29,990",512 GB SSD,4.3
130,Lenovo Intel Core i3 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) V14 Thin and Light Laptop,"₹32,490",39.62 cm (15.6 Inch) Display,4.8
131,ASUS Vivobook 16 Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home) X1605ZAC-MB540WS T...,"₹52,990",1 Year Onsite Warranty,4.3
132,ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,"₹48,990",Intel Core i5 Processor (13th Gen),4
133,Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 11 Home) 14IGL7/ 15IGL7 Thin...,"₹25,490",8 GB DDR4 RAM,4.4
134,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Ho...","₹42,990",64 bit Windows 11 Operating System,4.3
135,HP Victus Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,"₹60,990",512 GB SSD,4
136,HP 250R G9 (2024) Intel Core i3 13th Gen Intel Core i3 - 1315U (13th Gen) - (8 GB/512 GB SSD/Windows 1...,"₹31,999",39.62 cm (15.6 inch) Display,4.2
137,HP G9 AMD Ryzen 5 Hexa Core 5th Gen 5625U - (16 GB/512 GB SSD/Windows 11 Home) 7B1L8PA Notebook,"₹33,890",1 Year Onsite Hardware Service,4.3
138,ASUS X1504ZA Intel Core i3 12th Gen 12th Gen Intel Core i3-1215U - (8 GB/512 GB SSD/Windows 11 Home) X...,"₹31,777",Intel Core i7 Processor (13th Gen),4.3
139,Lenovo IdeaPad Slim 3 Backlit Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH...,"₹51,750",16 GB LPDDR4X RAM,4.3
140,MSI Katana A15 AI AMD Ryzen 7 Octa Core 8845HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,"₹99,990",Windows 11 Operating System,4.3
141,Acer Swift Go 14 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) SFG14-41 Thin and Li...,"₹49,990",512 GB SSD,3.7
142,CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Plus Laptop,"₹18,990",39.62 cm (15.6 Inch) Display,4.3
143,HP 14s Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light...,"₹43,990",1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,4.3
144,Apple Apple M3 - (16 GB/256 GB SSD/macOS Sequoia) MC8G4HN/A,"₹1,14,900",Intel Core i5 Processor (12th Gen),3.9
145,ASUS Vivobook Go 14 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1404FA-NK321WS Th...,"₹30,899",8 GB LPDDR5 RAM,4.1
